send_date,email_type,email_id,email_name,article_or_site,title,blurb,is_advanced_manufacturing,position,link,clicks
2026-07-28,Unclassified,218090128021,Castrol July eNotifier,The Critical Role of Lubrication in Aircraft Reliability and Performance,The Critical Role of Lubrication in Aircraft Reliability and Performance,,True,1,https://www.advancedmanufacturing.org/the-critical-role-of-lubrication-in-aircraft-reliability-and-performance/article_85c7a90b-8745-4924-8bd5-318bdd1469e5.html?utm_medium=email&_hsmi=430526037&utm_content=430526037&utm_source=hs_email,17
2026-07-28,Unclassified,218090128021,Castrol July eNotifier,Ai Readiness Report (ecisolutions.com),Ai Readiness Report (ecisolutions.com),,False,2,https://www.ecisolutions.com/resources/ebook/ai-readiness-report/?utm_keyword=advertorial&utm_medium=sponsored-content&_hsmi=430526037&utm_source=publication,2
2026-07-29,Unclassified,218289982473,Composites Leadership JotForm (Clone) (Clone),251185222648053 (form.jotform.com),251185222648053 (form.jotform.com),,False,1,https://form.jotform.com/251185222648053?utm_medium=email&_hsmi=430711601&utm_content=430711601&utm_source=hs_email,19
2026-07-29,Unclassified,218289982473,Composites Leadership JotForm (Clone) (Clone),251185222648053 (form.jotform.com),251185222648053 (form.jotform.com),,False,1,https://form.jotform.com/251185222648053?utm_id=8895662&dlv-emuid=ba18b0bb-ae82-40d3-8f79-30bb13367024&dlv-mlid=8895662&utm_campaign=test%20of%20mailing%204834710%20on%2005%2F08%2F2025%2014%3A51%3A17&utm_medium=email&_hsmi=430711601&utm_source=delivra,15
2026-02-20,Unclassified,207932063627,2026 Membership_SME Engage Feb 20,Membership 2026 Engagement Brochure Calendar (sme.org),Membership 2026 Engagement Brochure Calendar (sme.org),,False,3,https://www.sme.org/globalassets/sme.org/membership/engagement-activities/membership-2026-engagement-brochure-calendar.pdf?utm_campaign=38910833-2026%20SME%20Membership%20-%20SME%20Engage&utm_medium=email&_hsmi=404724230&utm_content=404724230&utm_source=hs_email,52
2026-02-20,Unclassified,207932063627,2026 Membership_SME Engage Feb 20,Love26 (sme.org),Love26 (sme.org),,False,2,https://www.sme.org/love26?utm_id=10275843&dlv-emuid=de2fe724-4aaa-4c34-9179-dc84e42e26f0&dlv-mlid=10275843&utm_campaign=38910833-2026%20SME%20Membership%20-%20SME%20Engage&utm_medium=email&_hsmi=404724230&utm_content=404724230&utm_source=hs_email,13
2026-02-20,Unclassified,207932063627,2026 Membership_SME Engage Feb 20,Published (linkedin.com),Published (linkedin.com),,False,,https://www.linkedin.com/company/18440/admin/page-posts/published/?utm_id=10275848&dlv-emuid=&dlv-mlid=10275848&utm_campaign=38910833-2026%20SME%20Membership%20-%20SME%20Engage&utm_medium=email&_hsmi=404724230&utm_content=404724230&utm_source=hs_email,11
2026-02-20,Unclassified,207932063627,2026 Membership_SME Engage Feb 20,Watch (youtube.com),Watch (youtube.com),,False,,https://www.youtube.com/watch?v=D9bvjEsGIf4&utm_campaign=38910833-2026%20SME%20Membership%20-%20SME%20Engage&utm_medium=email&_hsmi=404724230&utm_content=404724230&utm_source=hs_email,7
2026-02-20,Unclassified,207932063627,2026 Membership_SME Engage Feb 20,Engagement (sme.org),SME Engagement page,"Reignite Your SME Membership Experience Now is the perfect time to reconnect with the full value of your SME Membership. Stay connected, stay informed, and take advantage of the resources, opportunities, and community designed to support your growth. Follow SME on LinkedIn for the latest updates, and visit the SME Engagement page",False,1,https://www.sme.org/engagement?utm_campaign=38910833-2026%20SME%20Membership%20-%20SME%20Engage&utm_medium=email&_hsmi=404724230&utm_content=404724230&utm_source=hs_email,5
2026-02-20,Unclassified,207932063627,2026 Membership_SME Engage Feb 20,Watch (youtube.com),Watch (youtube.com),,False,,https://www.youtube.com/watch?v=QQO7JP1u4ZY&utm_campaign=38910833-2026%20SME%20Membership%20-%20SME%20Engage&utm_medium=email&_hsmi=404724230&utm_content=404724230&utm_source=hs_email,5
2026-02-20,Unclassified,207932063627,2026 Membership_SME Engage Feb 20,Madness26 (sme.org),Madness26 (sme.org),,False,,http://www.sme.org/madness26?utm_campaign=38910833-2026%20SME%20Membership%20-%20SME%20Engage&utm_medium=email&_hsmi=404724230&utm_content=404724230&utm_source=hs_email,4
2026-02-20,Unclassified,207932063627,2026 Membership_SME Engage Feb 20,F6476f89 65ec 4201 80f1 685c4550d0ad@e4feb827 1196 496c 9b39 91cf263bffbf (events.teams.microsoft.com),F6476f89 65ec 4201 80f1 685c4550d0ad@e4feb827 1196 496c 9b39 91cf263bffbf (events.teams.microsoft.com),,False,7,https://events.teams.microsoft.com/event/f6476f89-65ec-4201-80f1-685c4550d0ad@e4feb827-1196-496c-9b39-91cf263bffbf?utm_campaign=38910833-2026%20SME%20Membership%20-%20SME%20Engage&utm_medium=email&_hsmi=404724230&utm_content=404724230&utm_source=hs_email,4
2026-02-20,Unclassified,207932063627,2026 Membership_SME Engage Feb 20,Login (abstractscorecard.com),Login (abstractscorecard.com),,False,4,https://www.abstractscorecard.com/cfp/submit/login.asp?EventKey=AXQPTFIV&utm_campaign=38910833-2026%20SME%20Membership%20-%20SME%20Engage&utm_medium=email&_hsmi=404724230&utm_content=404724230&utm_source=hs_email,3
2026-02-20,Unclassified,207932063627,2026 Membership_SME Engage Feb 20,5e86768c 7fef 492a 9651 51812b14c5bd@e4feb827 1196 496c 9b39 91cf263bffbf (events.teams.microsoft.com),5e86768c 7fef 492a 9651 51812b14c5bd@e4feb827 1196 496c 9b39 91cf263bffbf (events.teams.microsoft.com),,False,5,https://events.teams.microsoft.com/event/5e86768c-7fef-492a-9651-51812b14c5bd@e4feb827-1196-496c-9b39-91cf263bffbf?utm_campaign=38910833-2026%20SME%20Membership%20-%20SME%20Engage&utm_medium=email&_hsmi=404724230&utm_content=404724230&utm_source=hs_email,3
2026-02-20,Unclassified,207932063627,2026 Membership_SME Engage Feb 20,Engagement (sme.org),Engagement (sme.org),,False,,http://www.sme.org/engagement?utm_campaign=38910833-2026%20SME%20Membership%20-%20SME%20Engage&utm_medium=email&_hsmi=404724230&utm_content=404724230&utm_source=hs_email,3
2026-02-20,Unclassified,207932063627,2026 Membership_SME Engage Feb 20,B5ebf47d E434 4dd6 Ae60 14ddb259b8ef@e4feb827 1196 496c 9b39 91cf263bffbf (events.teams.microsoft.com),B5ebf47d E434 4dd6 Ae60 14ddb259b8ef@e4feb827 1196 496c 9b39 91cf263bffbf (events.teams.microsoft.com),,False,8,https://events.teams.microsoft.com/event/b5ebf47d-e434-4dd6-ae60-14ddb259b8ef@e4feb827-1196-496c-9b39-91cf263bffbf?utm_campaign=38910833-2026%20SME%20Membership%20-%20SME%20Engage&utm_medium=email&_hsmi=404724230&utm_content=404724230&utm_source=hs_email,3
